NUCCORE_ACC	NUCCORE_CreateDate	NUCCORE_GC	BIOSAMPLE_Host	BIOSAMPLE_Host_processed	BIOSAMPLE_IsolationSource	NUCCORE_Length	BIOSAMPLE_Location	BIOSAMPLE_SampleType	NUCCORE_Topology	loc_lat	loc_lng	loc_parsed	plasmidfinder	pmlst	TAXONOMY_class	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_taxon_name	TAXONOMY_order	TAXONOMY_phylum	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_superkingdom	D1	D2
NZ_CP123048.1	2023-04-24	0.5092278883421156	Homo sapiens		sputum	114815	China: Zhuhai		circular	22.28	113.58		IncFII(pHN7A8)_1, JN232517, 	IncF RST(F33:A-:B-):FIA(-);FIB(-);FIC(5?);FII(33);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.355218400000001	3.7758472000000003
NZ_CP123047.1	2023-04-24	0.4914868700693484	Homo sapiens		sputum	207503	China: Zhuhai		circular	22.28	113.58		IncFIC(FII)_1, AP001918, |IncFIB(AP001918)_1, AP001918, 	IncF RST(--:A-:B1):FIA(-);FIB(1);FIC(4);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-9.14825	3.0155635
NZ_CP123037.1	2023-04-24	0.5181566309567788	Homo sapiens			108280	China:Guangdong	single cell	circular	23.135769399999997	113.19826880000001	China,Guangdong	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFII(pAMA1167-NDM-5)_1, CP024805, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(49?);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.217162599999999	5.7965364
NZ_CP123031.1	2023-04-24	0.5089858793324775	Homo sapiens		Bronchoalveolar Lavage Fluid	84132	China:Jiangsu	single cell	circular	33.0000001	119.9999999	China,Jiangsu	IncFIB(AP001918)_1, AP001918, |IncFII(pAMA1167-NDM-5)_1, CP024805, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(49?);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.212311	5.791483400000001
NZ_CP123025.1	2023-04-24	0.5199896622333552	Homo sapiens		urine	100602	China:Jiangsu	single cell	circular	33.0000001	119.9999999	China,Jiangsu	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFII(pAMA1167-NDM-5)_1, CP024805, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(49?);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.210144500000001	5.7877445
NZ_CP123020.1	2023-04-24	0.5261872176357189	Homo sapiens		blood	67953	China:Jiangsu	single cell	circular	33.0000001	119.9999999	China,Jiangsu	IncFII(pCoo)_1, CR942285, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(~59);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.180656	4.189494600000001
NZ_CP123019.1	2023-04-24	0.5085935637663885	Homo sapiens		blood	83900	China:Jiangsu	single cell	circular	33.0000001	119.9999999	China,Jiangsu	IncFIB(AP001918)_1, AP001918, |IncFII(pAMA1167-NDM-5)_1, CP024805, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(49?);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.212308999999999	5.786968700000001
NZ_CP123014.1	2023-04-24	0.5180978694209053	Homo sapiens		blood	107858	China:Jiangsu	single cell	circular	33.0000001	119.9999999	China,Jiangsu	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFII(pAMA1167-NDM-5)_1, CP024805, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(49?);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-7.235905000000001	5.8008184
NZ_CP122943.1	2023-05-17	0.5170577539180882	Sus scrofa		feces	69294	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, 	IncF RST(F10:A-:B-):FIA(-);FIB(-);FIC(5?);FII(10);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.600486999999999	3.529691
NZ_CP122939.1	2023-05-17	0.4530293291837218	Sus scrofa		feces	59122	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, |IncX1_1, EU370913, 	IncF RST(F14:A-:B-):FIA(-);FIB(-);FIC(-);FII(14);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.150026	3.3649805
NZ_CP122934.1	2023-05-17	0.4290514238885474	Sus scrofa		feces	24405	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pEH01)_1, CP063521.1, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	8.7762575	-8.099024
NZ_CP122927.1	2023-05-17	0.5002601408476876	Sus scrofa		feces	107634	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIC(FII)_1, AP001918, |IncFIB(AP001918)_1, AP001918, 	IncF RST(--:A-:B56):FIA(-);FIB(56);FIC(6);FII(89);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.590877000000001	3.0401251
NZ_CP122884.1	2023-05-17	0.4907812310552479	Sus scrofa		feces	123715	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(29)_1, CP003035, 	IncF RST(F104:A-:B-):FIA(-);FIB(-);FIC(-);FII(104);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.3218510000000006	3.4653878
NZ_CP122878.1	2023-05-17	0.5011038605814317	Sus scrofa		feces	102368	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIB(AP001918)_1, AP001918, |IncFIC(FII)_1, AP001918, 	IncF RST(--:A-:B56):FIA(-);FIB(56);FIC(6);FII(89);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.597337700000001	3.1110256
NZ_CP122874.1	2023-05-17	0.5011136075021979	Sus scrofa		feces	102370	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIB(AP001918)_1, AP001918, |IncFIC(FII)_1, AP001918, 	IncF RST(--:A-:B56):FIA(-);FIB(56);FIC(6);FII(89);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.5471580000000005	3.1000392000000003
NZ_CP122871.1	2023-05-17	0.4912297910666036	Sus scrofa		feces	112141	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIC(FII)_1, AP001918, |IncFIB(AP001918)_1, AP001918, 	IncF RST(C2:A-:B42):FIA(-);FIB(42);FIC(2);FII(~89);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.16148	3.4669995000000005
NZ_CP122867.1	2023-05-17	0.5069164265129683	Sus scrofa		feces	107570	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, |IncFIB(pB171)_1, AB024946, 	IncF RST(F10:A-:B23):FIA(-);FIB(23);FIC(5?);FII(10);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.5075316	3.5264568
NZ_CP122862.1	2023-05-17	0.5119835487170922	Sus scrofa		feces	95798	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pSE11)_1, AP009242, 	IncF RST(F108:A-:B-):FIA(-);FIB(-);FIC(-);FII(108);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	2.2887718999999995	-0.50318825
NZ_CP122860.1	2023-05-17	0.4979371822892365	Sus scrofa		feces	81442	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIB(K)_1, JN233704, |IncFIA(HI1)_1, AF250878, 	IncF RST(F-:A18:B-):FIA(18);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.4801283	2.8622622000000004
NZ_CP122851.1	2023-05-17	0.5069024179379201	Sus scrofa		feces	107571	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, |IncFIB(pB171)_1, AB024946, 	IncF RST(F10:A-:B23):FIA(-);FIB(23);FIC(5?);FII(10);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.535157	3.5244214999999994
NZ_CP122849.1	2023-05-17	0.5134568497426414	Sus scrofa		feces	84901	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pSE11)_1, AP009242, 	IncF RST(F108:A-:B-):FIA(-);FIB(-);FIC(-);FII(108);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	2.2880955000000003	-0.5048954999999999
NZ_CP122842.1	2023-05-17	0.4881147780008831	Sus scrofa		feces	120023	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, |IncX1_1, EU370913, 	IncF RST(F10:A-:B-):FIA(-);FIB(-);FIC(5?);FII(10);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.2862053	3.4508797999999996
NZ_CP122838.1	2023-05-17	0.4976551724137931	Sus scrofa		feces	94250	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIB(AP001918)_1, AP001918, 	IncF RST(F-:A-:B42):FIA(-);FIB(42);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.172361	3.4798467000000004
NZ_CP122834.1	2023-05-17	0.4693033201480467	Sus scrofa		feces	165083	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIC(FII)_1, AP001918, |IncFIB(AP001918)_1, AP001918, |IncX4_1, CP002895, 	IncF RST(--:A-:B56):FIA(-);FIB(56);FIC(6);FII(89);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.508221	1.6574706999999997
NZ_CP122830.1	2023-05-17	0.4876514303166039	Sus scrofa		feces	98230	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(29)_1, CP003035, |IncX1_1, EU370913, 	IncF RST(F30:A-:B-):FIA(-);FIB(-);FIC(5?);FII(30);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.2721376	3.4364065999999998
NZ_CP122829.1	2023-05-17	0.5292373683214534	Sus scrofa		feces	79265	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, 	IncF RST(F110:A-:B-):FIA(-);FIB(-);FIC(-);FII(110);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.3135996	3.5806362999999997
NZ_CP122818.1	2023-05-17	0.4971574201137032	Sus scrofa		feces	81616	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pSE11)_1, AP009242, 	IncF RST(F108:A-:B-):FIA(-);FIB(-);FIC(-);FII(108);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.485575	2.8499591
NZ_CP122817.1	2023-05-17	0.5035964145168342	Sus scrofa		feces	91480	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIC(FII)_1, AP001918, |IncFIB(AP001918)_1, AP001918, 	IncF RST(C2:A-:B42):FIA(-);FIB(42);FIC(2);FII(~89);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.1613526	3.477001
NZ_CP122807.1	2023-05-17	0.4876203856412762	Sus scrofa		feces	98226	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(29)_1, CP003035, |IncX1_1, EU370913, 	IncF RST(F30:A-:B-):FIA(-);FIB(-);FIC(5?);FII(30);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.272096599999999	3.4213157
NZ_CP122805.1	2023-05-17	0.5292381060520039	Sus scrofa		feces	79263	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, 	IncF RST(F110:A-:B-):FIA(-);FIB(-);FIC(-);FII(110);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.3047476	3.5824977999999996
NZ_CP122772.1	2023-05-17	0.4837779379956741	Sus scrofa		feces	76285	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pRSB107)_1, AJ851089, |IncX1_1, EU370913, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(~111);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.080803400000001	3.3557792
NZ_CP122771.1	2023-05-17	0.5228939366839563	Sus scrofa		feces	67092	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(29)_1, CP003035, 	IncF RST(F30:A-:B-):FIA(-);FIB(-);FIC(5?);FII(30);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.7395325	3.7178660000000003
NZ_CP122764.1	2023-05-17	0.4969068483016365	Sus scrofa		feces	78399	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIB(K)_1, JN233704, |IncFIA(HI1)_1, AF250878, 	IncF RST(F-:A18:B-):FIA(18);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.4968853	2.8560152000000003
NZ_CP122762.1	2023-05-17	0.5265099510569395	Sus scrofa		feces	95417	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pSE11)_1, AP009242, 	IncF RST(F108:A-:B-):FIA(-);FIB(-);FIC(-);FII(108);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	2.2008305	-0.46207413
NZ_CP122761.1	2023-05-17	0.5066361685304417	Sus scrofa		feces	106236	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, |IncFIB(pB171)_1, AB024946, 	IncF RST(F10:A-:B23):FIA(-);FIB(23);FIC(5?);FII(10);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.529731	3.5478985
NZ_CP122732.1	2023-05-17	0.5010105004173806	Sus scrofa		feces	91044	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pRSB107)_1, AJ851089, 	IncF RST(F111:A-:B-):FIA(-);FIB(-);FIC(5?);FII(111);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.8119674	3.2576522999999997
NZ_CP122728.1	2023-05-17	0.5120200847919282	Sus scrofa		feces	84442	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pHN7A8)_1, JN232517, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(40?);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.6065545	3.4547415
NZ_CP122721.1	2023-05-17	0.4543041071645468	Sus scrofa		feces	57631	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, |IncX1_1, EU370913, 	IncF RST(F14:A-:B-):FIA(-);FIB(-);FIC(-);FII(14);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.140779	3.3283086
NZ_CP122720.1	2023-05-17	0.525802214299118	Sus scrofa		feces	47961	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, 	IncF RST(F10:A-:B-):FIA(-);FIB(-);FIC(5?);FII(10);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.4978986	3.5392349000000003
NZ_CP122717.1	2023-05-17	0.5099291147099912	Sus scrofa		feces	96635	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIC(FII)_1, AP001918, |IncFIB(AP001918)_1, AP001918, 	IncF RST(C2:A-:B42):FIA(-);FIB(42);FIC(2);FII(~89);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.154611599999999	3.4633415000000003
NZ_CP122714.1	2023-05-17	0.5254758887666579	Sus scrofa		feces	71813	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, 	IncF RST(F110:A-:B-):FIA(-);FIB(-);FIC(-);FII(110);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.3074226	3.5762029
NZ_CP122713.1	2023-05-17	0.5018967394418657	Sus scrofa		feces	87255	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pSE11)_1, AP009242, 	IncF RST(F108:A-:B-):FIA(-);FIB(-);FIC(-);FII(108);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-5.5217686	2.866397
NZ_CP122709.1	2023-06-05	0.5214448692649235	Sus scrofa		feces	64864	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(29)_1, CP003035, 	IncF RST(F29:A-:B-):FIA(-);FIB(-);FIC(-);FII(29);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.781906599999999	3.7100953999999997
NZ_CP122705.1	2023-06-05	0.4975280766222458	Sus scrofa		feces	135522	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIB(AP001918)_1, AP001918, |IncFII(pRSB107)_1, AJ851089, 	IncF RST(F4:A-:B16):FIA(-);FIB(16);FIC(3?);FII(4);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.567301	3.5242019
NZ_CP122697.1	2023-06-05	0.4970140536159155	Sus scrofa		feces	83893	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pHN7A8)_1, JN232517, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(40?);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.8431864000000004	3.3471754000000002
NZ_CP122692.1	2023-06-05	0.4981935751104565	Sus scrofa		feces	86912	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pHN7A8)_1, JN232517, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(40?);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.825874000000001	3.2923253
NZ_CP122688.1	2023-05-17	0.4482139142603203	Sus scrofa		feces	52881	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(pCoo)_1, CR942285, |IncX1_1, EU370913, 	IncF RST(F14:A-:B-):FIA(-);FIB(-);FIC(-);FII(14);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.137996	3.351583
NZ_CP122686.1	2023-05-17	0.5146080373776503	Sus scrofa		feces	67634	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(29)_1, CP003035, 	IncF RST(F30:A-:B-):FIA(-);FIB(-);FIC(5?);FII(30);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.7062793	3.6484612999999997
NZ_CP122684.1	2023-05-17	0.5186904550086537	Sus scrofa		feces	61823	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFII(29)_1, CP003035, 	IncF RST(F30:A-:B-):FIA(-);FIB(-);FIC(5?);FII(30);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.7466497	3.673377
NZ_CP122661.1	2023-05-17	0.4662549717395855	Sus scrofa		feces	95540	Belgium		circular	50.6402809	4.6667144999999985	Belgium	IncFIB(AP001918)_1, AP001918, |IncFII(pHN7A8)_1, JN232517, 	IncF RST(F40:A-:B-):FIA(-);FIB(~56);FIC(-);FII(40);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.130904699999999	3.3320953999999996
